[PngImagePlugin.py:202] - 2023-08-16 21:34:53,714 - DEBUG - STREAM b'IDAT' 91 766
[PngImagePlugin.py:202] - 2023-08-16 21:34:53,719 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:202] - 2023-08-16 21:34:53,719 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:202] - 2023-08-16 21:34:53,719 - DEBUG - STREAM b'gAMA' 54 4
[PngImagePlugin.py:202] - 2023-08-16 21:34:53,719 - DEBUG - STREAM b'pHYs' 70 9
[PngImagePlugin.py:202] - 2023-08-16 21:34:53,719 - DEBUG - STREAM b'IDAT' 91 601
[PngImagePlugin.py:202] - 2023-08-16 21:34:53,722 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:202] - 2023-08-16 21:34:53,722 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:202] - 2023-08-16 21:34:53,722 - DEBUG - STREAM b'gAMA' 54 4
[PngImagePlugin.py:202] - 2023-08-16 21:34:53,722 - DEBUG - STREAM b'pHYs' 70 9
[PngImagePlugin.py:202] - 2023-08-16 21:34:53,722 - DEBUG - STREAM b'IDAT' 91 1063
[connectionpool.py:1048] - 2023-08-16 21:35:01,563 - DEBUG - Starting new HTTPS connection (1): discord.com:443
[connectionpool.py:546] - 2023-08-16 21:35:01,928 - DEBUG - https://discord.com:443 "GET /api/webhooks/1141371871200301057/XdDGpXmVt0H_iL_StuZsqVDqclpqLrW59KVFlzwzEITuDouyF00d81N32KWODDfIegCJ HTTP/1.1" 200 None
[connectionpool.py:1048] - 2023-08-16 21:36:17,793 - DEBUG - Starting new HTTPS connection (1): discord.com:443
[connectionpool.py:546] - 2023-08-16 21:36:18,151 - DEBUG - https://discord.com:443 "GET /api/webhooks/1141367837722685490/G3opJvUjLhox8PqiaKofUFgfEzSCpBAGfbABStdv-gX8xUsIt7j--ryM0LxPz5NnaPvL HTTP/1.1" 200 None
[builder.pyw:425] - 2023-08-16 21:36:19,663 - INFO - Retrieved filename: Roblox FPS Unlocker V5.3
[builder.pyw:394] - 2023-08-16 21:36:19,663 - INFO - Changed filetype: pyinstaller
[builder.pyw:394] - 2023-08-16 21:36:19,663 - INFO - Changed filetype: pyinstaller
[builder.pyw:445] - 2023-08-16 21:36:19,664 - INFO - Successfully changed config
[builder.pyw:489] - 2023-08-16 21:38:04,137 - INFO - Successfully compiled Roblox FPS Unlocker V5.3.exe with pyinstaller
[builder.pyw:456] - 2023-08-16 21:38:05,455 - INFO - Successfully pumped file: Roblox FPS Unlocker V5.3.exe
[builder.pyw:529] - 2023-08-16 21:38:05,464 - INFO - Successfully removed directory: ./build
[builder.pyw:538] - 2023-08-16 21:38:05,464 - INFO - Successfully removed file: ./Roblox FPS Unlocker V5.3.py
[builder.pyw:538] - 2023-08-16 21:38:05,464 - INFO - Successfully removed file: ./tools/upx.exe
[builder.pyw:538] - 2023-08-16 21:38:05,465 - INFO - Successfully removed file: ./Roblox FPS Unlocker V5.3.spec
[admin.py:92] - 2023-08-16 21:39:49,351 - INFO - Process handle <PyHANDLE:1576> returned code 0
[admin.py:29] - 2023-08-18 18:26:08,172 - INFO - isUserAdmin - CheckTokenMembership returned: False
[builder.pyw:603] - 2023-08-18 18:26:08,173 - ERROR - File must be run with admin privileges
[admin.py:70] - 2023-08-18 18:26:08,179 - DEBUG - Defaulting to runAsAdmin command line: ['C:\\Users\\eucha\\AppData\\Local\\Programs\\Python\\Python311\\pythonw.exe', 'D:\\JEX WORK\\Luna-Grabber-main\\builder.pyw']
[admin.py:80] - 2023-08-18 18:26:08,179 - INFO - Running command 'C:\\Users\\eucha\\AppData\\Local\\Programs\\Python\\Python311\\pythonw.exe' - '"D:\\JEX WORK\\Luna-Grabber-main\\builder.pyw"'
[admin.py:29] - 2023-08-18 18:26:09,979 - INFO - isUserAdmin - CheckTokenMembership returned: True
[PngImagePlugin.py:202] - 2023-08-18 18:26:10,130 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:202] - 2023-08-18 18:26:10,130 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:202] - 2023-08-18 18:26:10,130 - DEBUG - STREAM b'IDAT' 54 8192
[PngImagePlugin.py:202] - 2023-08-18 18:26:10,130 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:202] - 2023-08-18 18:26:10,130 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:202] - 2023-08-18 18:26:10,131 - DEBUG - STREAM b'IDAT' 54 8192
[PngImagePlugin.py:202] - 2023-08-18 18:26:10,131 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:202] - 2023-08-18 18:26:10,131 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:202] - 2023-08-18 18:26:10,131 - DEBUG - STREAM b'IDAT' 54 8192
[PngImagePlugin.py:202] - 2023-08-18 18:26:10,131 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:202] - 2023-08-18 18:26:10,131 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:202] - 2023-08-18 18:26:10,131 - DEBUG - STREAM b'gAMA' 54 4
[PngImagePlugin.py:202] - 2023-08-18 18:26:10,131 - DEBUG - STREAM b'pHYs' 70 9
[PngImagePlugin.py:202] - 2023-08-18 18:26:10,131 - DEBUG - STREAM b'IDAT' 91 766
[PngImagePlugin.py:202] - 2023-08-18 18:26:10,131 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:202] - 2023-08-18 18:26:10,131 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:202] - 2023-08-18 18:26:10,131 - DEBUG - STREAM b'gAMA' 54 4
[PngImagePlugin.py:202] - 2023-08-18 18:26:10,131 - DEBUG - STREAM b'pHYs' 70 9
[PngImagePlugin.py:202] - 2023-08-18 18:26:10,131 - DEBUG - STREAM b'IDAT' 91 601
[PngImagePlugin.py:202] - 2023-08-18 18:26:10,132 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:202] - 2023-08-18 18:26:10,132 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:202] - 2023-08-18 18:26:10,132 - DEBUG - STREAM b'gAMA' 54 4
[PngImagePlugin.py:202] - 2023-08-18 18:26:10,132 - DEBUG - STREAM b'pHYs' 70 9
[PngImagePlugin.py:202] - 2023-08-18 18:26:10,132 - DEBUG - STREAM b'IDAT' 91 1063
[admin.py:92] - 2023-08-18 18:26:21,276 - INFO - Process handle <PyHANDLE:1540> returned code 0
[admin.py:29] - 2023-08-20 13:15:09,654 - INFO - isUserAdmin - CheckTokenMembership returned: False
[builder.pyw:603] - 2023-08-20 13:15:09,655 - ERROR - File must be run with admin privileges
[admin.py:70] - 2023-08-20 13:15:09,727 - DEBUG - Defaulting to runAsAdmin command line: ['C:\\Users\\eucha\\AppData\\Local\\Programs\\Python\\Python311\\pythonw.exe', 'D:\\JEX WORK\\Luna-Grabber-main\\builder.pyw']
[admin.py:80] - 2023-08-20 13:15:09,727 - INFO - Running command 'C:\\Users\\eucha\\AppData\\Local\\Programs\\Python\\Python311\\pythonw.exe' - '"D:\\JEX WORK\\Luna-Grabber-main\\builder.pyw"'
[admin.py:29] - 2023-08-20 13:15:12,090 - INFO - isUserAdmin - CheckTokenMembership returned: True
[PngImagePlugin.py:202] - 2023-08-20 13:15:12,612 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:202] - 2023-08-20 13:15:12,613 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:202] - 2023-08-20 13:15:12,613 - DEBUG - STREAM b'IDAT' 54 8192
[PngImagePlugin.py:202] - 2023-08-20 13:15:12,613 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:202] - 2023-08-20 13:15:12,613 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:202] - 2023-08-20 13:15:12,613 - DEBUG - STREAM b'IDAT' 54 8192
